pid,citedpid
610667,432546
799306,36865
799306,489915
799306,644926
829793,797281
1052658,686678
696045,123177
696045,654641
696045,696053
696045,747503
879478,204833
879478,479378
879478,496296
879478,500524
879478,818003
879478,915148
217514,78241
496305,696066
919785,852811
919785,978015
919785,979663
919785,1111565
385121,123101
385121,261819
385121,479360
385121,654646
385121,747503
385121,747506
385121,769578
385121,769732
385121,769733
385121,835663
385121,879992
1434,522464
444528,789887
444528,919828
827332,132209
829844,797281
806371,160965
216535,216537
216535,216538
216535,331526
686457,479352
686457,654641
686457,686457
352045,789895
352045,1111565
885132,6796
132338,82840
132338,103427
132338,341744
710575,48269
710575,103493
710575,554328
710575,592224
710575,636341
204935,242654
292809,915975
460290,6856
279938,2270
340904,508195
340904,536782
340904,654710
82950,103473
82950,341778
841674,572583
841674,690582
406605,161434
406605,879991
406605,879992
1087139,2702
1087139,79664
1087139,500519
1087139,696053
1087139,720170
271050,180519
819760,219232
982589,242625
396154,797281
720516,784178
528795,2909
528795,71852
528795,78144
649877,261822
982624,63576
982624,82741
982624,916881
217395,787571
36832,15995
36832,396021
36832,615154
36832,797182
835664,879991
963403,489951
963403,490054
91864,91746
91864,331802
396074,229370
396074,1029631
1041399,1041401
323231,776628
323231,776636
2700,2684
2700,2688
2700,2696
2700,2702
2700,123162
2700,500520
2700,508195
2700,654641
2700,696083
1016528,157845
628566,827177
720170,508213
720170,769741
720170,862578
25443,827097
2713,496282
2713,696064
2713,696066
2713,769721
6360,400769
6360,888078
1134997,404101
1134997,489919
479360,380279
479360,654646
479360,769733
644943,15950
644943,36883
644943,36884
305468,48269
305468,261830
305468,644909
305468,783456
91316,849606
940673,553428
940673,933381
657569,776697
657569,1102823
862589,409825
862589,654710
862589,696064
862589,696083
862589,859089
862589,904390
528760,326036
245946,687133
245946,687164
924077,789623
639352,778248
737211,608685
367935,686667
367935,773154
352012,775081
352012,789857
352012,919742
352012,919781
352012,919783
352012,922474
352012,979663
30976,2767
30976,1029336
1076094,103495
1076094,341778
396071,396079
396071,797281
286768,296294
687164,2468
769578,261856
769578,479343
769578,479385
769578,654710
769578,879461
644901,569357
438509,964981
493169,509499
604348,91228
1073750,176231
1073750,933174
1073750,1013525
36103,702156
1029631,998152
24161,326107
16181,367879
818120,245882
818120,737961
818120,784178
818120,784190
818120,909891
829792,15956
829792,356310
829792,797281
188606,684435
188606,687092
188606,784178
188606,1139696
27584,622089
27584,686667
257071,341776
257071,757563
257071,1057925
1012376,878416
569801,827332
862573,347144
862573,437147
862573,500509
862573,696058
862573,696064
862573,859070
19860,867306
1030040,365682
746658,167900
746658,479385
746658,696045
746658,747503
746658,1047342
649880,980706
292805,356426
219143,214112
219143,722526
1036078,998679
502798,162851
502798,261822
502798,496317
502798,502798
502798,915123
502798,927815
5046,5048
23918,36893
23918,829791
644981,587149
144712,334166
1081290,622110
1081290,835663
1081290,835664
1081290,849664
1081290,879991
1081290,879992
76014,82741
76014,161004
368180,161442
368180,190894
1001207,72099
1001207,105682
1001207,421394
1001207,964012
15950,396074
15950,1021832
1064663,2767
1064663,264569
1064663,479352
1064663,496317
1064663,688778
1064663,720208
1064663,769542
1064663,879462
1064663,1124106
669393,486204
557892,579222
385105,2748
385105,479352
385105,479378
385105,579560
385105,649880
385105,769713
385105,927793
385105,980706
852815,946855
941077,82741
941077,169568
941077,933353
553749,26158
553749,403487
553749,554143
553749,555369
1700,1966
479346,300121
479346,347144
181505,2530
104095,356473
104095,553733
104095,554143
104095,554266
104095,675085
104095,741595
116,216538
1081957,1096250
591922,784178
710572,2856
710572,257071
710572,291077
710572,757563
955330,922100
769538,2756
769538,300117
769538,479343
769538,654641
769538,696092
769538,835665
769538,927801
477899,2959
477899,160965
113161,93272
113161,724124
457714,15422
176198,360048
455587,872681
455587,941088
455587,1140556
432693,769566
432693,1106743
331513,419554
496308,696066
496308,696089
71884,71880
71884,404014
71884,615154
71884,628559
71884,644930
71884,1012313
1059912,343735
1059912,784178
357061,405506
357061,409768
357061,508195
357061,654710
357061,817969
357061,1106431
654710,300121
654710,409825
260995,789895
260995,852811
260995,1135137
776697,6999
776697,1029632
761214,432477
1103380,385152
1103380,502792
1103380,769578
696066,696064
402565,48264
402565,261830
402565,941077
7002,300117
7002,835663
7002,835664
7002,835665
7002,879992
946844,221695
946844,221732
604232,36853
604232,586941
604232,829760
604232,1012313
496206,16072
496206,396061
496206,604229
605196,478049
605196,574757
605196,915154
654685,421100
385130,2684
385130,2688
385130,2700
385130,2702
385130,48099
385130,432654
385130,541092
385130,654710
385130,879507
69544,245806
221699,167900
221699,398417
221699,553428
866307,26321
112454,654646
112454,686457
396132,396079
396132,396088
396132,797281
720440,413581
720440,737191
871004,366050
817974,204833
817974,441562
817974,483684
817974,818003
710615,48269
710615,48273
710615,554140
710615,574587
710615,757563
835638,268605
553610,24138
553610,404101
553610,1057925
553610,1134997
160974,404014
160974,508342
160974,628559
160974,855300
367499,79662
367499,357078
367499,827092
879498,479352
879498,479398
879498,496297
879498,500473
879498,654710
879498,720195
359747,690582
16285,356423
16285,569332
927790,2778
26321,6846
528634,71807
528634,108590
528634,217418
654064,179761
654064,787900
3851,3860
331526,788811
587146,396031
822582,2709
822582,261856
822582,266875
822582,385105
822582,879461
822582,915123
822582,1020337
644942,1100520
4192,492823
4192,613929
4192,983868
3230,318
3230,3298
927801,654641
291178,380154
769436,303141
769436,346774
225502,26110
91374,6949
91374,151493
91374,151511
91374,887282
438465,438465
438465,1000560
3380,122
2877,15956
2877,16322
2877,36839
2877,36893
2877,356310
2877,787558
2877,797281
2877,1113838
30302,30173
6862,774529
7038,674873
7038,835632
7038,849601
946045,78133
946045,157845
946045,829802
388554,496290
357008,323292
357008,696097
1742,512831
674049,403392
178,113161
542441,6983
542441,323225
105687,432751
23920,797281
797284,796191
48188,574587
48188,574602
1107198,1062253
603284,733910
603284,776615
217329,23946
586946,829754
639357,558004
769554,261822
769554,479378
769554,927792
769554,927794
769554,927796
769748,242625
769748,380266
769748,508185
769748,542439
769748,660496
769748,677613
769748,769752
769748,799820
769748,835615
769748,859129
1135140,789859
1135140,941076
400,1873
569336,615168
569336,615220
935778,204833
935778,367473
935778,818003
675014,736767
644926,23885
644926,36865
644926,455686
644926,829754
1096879,94620
1096879,432722
1096879,579546
1096879,597166
7064,242580
7064,370243
7064,849673
490053,24138
490053,356334
490053,632262
490053,983281
267578,30992
267578,125592
267578,261822
267578,479378
267578,502788
112447,385121
112447,432778
112447,479360
112447,496282
112447,502814
112447,654641
112447,688784
112447,696045
112447,769535
112447,769732
112447,769733
112447,874545
112447,879507
112447,991036
334302,114157
334302,245824
334302,522273
334302,1059906
2873,91328
2873,404101
2873,489915
2873,489919
2873,508346
2873,628632
2873,787558
2873,1011209
855335,604158
340889,261844
340889,479352
340889,502792
1076037,123162
1076037,409768
1076037,409823
1076037,409825
1076037,500520
1076037,508212
1076037,541092
1076037,1030151
421417,6815
421417,169509
421417,524937
421417,904390
169505,524937
169505,1036174
169505,1092975
169505,1095899
455554,1140556
611438,30905
611438,479378
611438,769578
611438,927790
48293,63576
48293,574599
48293,982624
4174,983868
1020713,303141
673980,356473
867447,2496
867447,419555
49011,699676
1050140,827148
311899,323245
367864,240343
36851,569350
36851,829816
747515,405449
747515,1030151
884177,359233
884177,359238
884177,995803
1121022,23956
1121022,23981
5128,4715
373602,334184
373602,563223
502852,2720
502852,380260
502852,500494
502852,769578
502852,879461
776628,6952
776628,6978
776628,7029
776628,686678
776628,1016180
271547,646249
271547,657232
967533,228854
967533,919781
967533,919785
967533,922475
569377,396060
569377,615151
569377,615191
569377,887336
82741,27591
82741,916887
2630,1052009
2630,1099505
23916,15950
23916,356310
23916,797281
424931,544254
320798,866099
1099326,979660
1099326,1115636
862587,347186
862587,437095
862587,818004
862587,859171
2764,479352
2764,496305
2764,696066
2764,696089
2764,869470
479648,242654
500509,347185
500509,437147
592183,82935
592183,554168
592183,922100
592183,940737
1003816,219149
1003816,548971
1003816,674931
628579,16296
628579,132342
88083,968118
161020,160976
161020,217391
217465,78119
217465,554328
217465,628579
217465,636341
3357,394
7230,850258
409821,541092
409821,747503
409821,747506
409821,879992
409821,1030151
161442,157759
161442,161391
161442,468070
161442,603284
161442,776615
490003,644942
852811,979663
489999,24007
489999,356376
489999,399605
489999,644933
489999,686555
818004,204833
818004,483684
161391,157759
161391,161442
161391,190894
161391,323232
161391,468070
161391,603284
161391,776615
161391,1029632
432764,424895
432764,437179
432764,541092
323245,311899
396353,300121
396353,409825
741519,377686
741519,757563
4219,783549
747558,541092
3334,36
3334,44
720177,25307
720177,859171
503685,34754
1103067,405506
1103067,409768
1103067,508195
1103067,654710
1103067,817969
1103067,1106431
71789,71786
71789,160999
294017,229301
733910,796191
367473,347186
367473,483684
367473,818003
367473,818004
607952,2468
607952,2518
331523,399605
91918,404101
985627,229370
985627,686555
30907,2709
30907,2728
30907,48140
30907,927793
71801,2942
71801,229301
71801,644922
649878,30905
649878,479378
649878,496296
649878,500524
649878,915148
649878,935797
2609,1075699
894565,261822
894565,496290
894565,502792
894565,654710
894565,879492
829785,16276
776641,7048
776641,7059
776641,421100
1062027,478023
810254,421417
553601,71752
553601,217394
553601,217479
3361,734
508361,404101
508361,490044
508361,587034
508361,686667
36852,356423
36852,396031
36852,404101
36852,587034
7026,157833
7026,421087
7026,796197
7026,849642
706294,608685
849640,421100
966470,78173
966470,103473
966470,592224
966470,628579
966470,636341
132337,403392
132337,674049
132337,981572
1008302,181625
71868,217514
1904,724124
615164,91374
615164,229332
615164,887282
926049,696073
3665,922474
242565,105171
242565,300121
242565,879991
242565,879992
528403,654641
528403,827115
794186,180519
396021,797182
396021,887310
554837,242580
340879,48083
340879,409823
340879,479343
340879,503685
340879,769538
340879,906434
496282,421665
496282,437147
496282,479358
496282,500509
496282,541092
496282,696058
496282,720170
569386,615161
569386,615193
922156,27591
922156,190894
6796,796705
6796,1106346
23956,23958
23956,797282
2720,357039
78225,404014
48099,2684
48099,2688
48099,2700
48099,2702
48099,654710
48099,879507
30888,2684
30888,2688
30888,2700
30888,2702
30888,123162
30888,261822
30888,496282
30888,508195
30888,541092
30888,654710
30888,879507
30888,915123
634270,806634
496185,269982
496185,281793
776615,6961
776615,157759
776615,686611
776615,733910
776615,796191
79663,79662
112468,340839
112468,479385
112468,502797
112468,502798
112468,696066
940737,82935
940737,554168
940737,922100
192582,852764
352025,922441
528764,63039
528764,548971
810214,340839
810214,1047307
834680,827097
834680,894719
268,113098
71832,202132
432677,2761
432677,479352
432677,496305
432677,500510
432677,696066
528754,71859
528754,510423
528754,829802
125633,2745
341778,103473
341778,341778
341778,341918
341778,438466
341778,554328
569392,229370
569392,396051
569392,396074
569392,1021832
569392,1029631
334184,53534
2233,331802
496296,437179
496296,479378
496296,500524
496296,541092
132280,356486
132280,696045
123162,409825
123162,541092
123162,654676
69605,756429
587068,797235
587068,829817
208631,613931
359230,212861
359230,359238
359230,1041952
217513,787589
887300,417434
15994,367922
15994,396031
15994,569375
684450,333838
684450,348650
787557,508414
787557,628559
775110,16071
775110,103468
775110,404056
413581,737191
413581,784178
250,54659
1083064,339812
1083064,763980
1083064,973589
413951,587034
528706,528706
528706,628510
528706,1092479
872649,82741
872649,455668
872649,872649
872649,916887
872649,941088
102,97
696053,123177
696053,500486
696053,508195
696053,541107
696053,696045
334166,558004
835615,1016180
53534,348650
53534,773036
741,1640
741,891067
397424,63297
397424,157696
397424,674892
397424,1048319
397424,1077538
397424,1102823
490218,268671
281793,269982
5722,574599
5722,789864
787607,16276
787607,23984
872671,132280
872671,300133
872671,356486
872671,437179
872671,696053
455574,852778
455574,872661
455574,979663
479662,123148
160976,217391
963851,1095646
916873,34754
773112,816157
398417,167900
181551,134968
402190,544190
402190,1048319
204833,441562
204833,483684
797244,229310
797244,887282
592902,788811
368206,18526
368206,161406
368206,161410
368206,554372
368206,686678
368206,776655
935797,479378
935797,496296
935797,500524
935797,915148
935797,935778
1000033,6949
696058,500509
872689,261822
872689,915123
891067,50875
891067,607482
891067,1117427
936771,171473
356335,157845
356335,797265
874536,25492
874536,242625
874536,696073
874536,926049
608697,2561
608697,2565
608697,2570
608697,2609
1092479,604195
1092479,628510
1092479,1050081
377585,141019
377585,432747
614420,19860
614420,357061
614420,405506
614420,409768
614420,508195
614420,654710
614420,817969
614420,1106431
11075,103468
967,1683
967,940456
528444,2778
528444,502869
528444,686435
528444,720195
528444,822582
134189,82864
724154,891067
229039,835562
229039,884179
229039,1058807
822503,266875
822503,346918
822503,385105
822503,638275
822503,822498
614486,614486
145224,432560
479378,696089
479378,817969
30997,2737
30997,25346
30997,79664
30997,347144
30997,409816
30997,500519
30997,582848
30997,654696
30997,769741
30997,915123
502823,2688
502823,2702
502823,30888
502823,48140
502823,123162
502823,500520
502823,541092
502823,649864
502823,769566
502823,769572
502823,927815
502823,935790
904040,63576
904040,259987
904040,990791
922100,82935
922100,554168
922100,940737
525062,216535
525062,216538
525062,331526
525062,607466
525062,607473
525062,685740
654676,541092
654676,736816
922119,103473
922119,169568
922119,438466
922119,490040
922119,757563
922119,922119
1039275,34754
1039275,503685
979660,167900
979660,398417
979660,553428
544209,157696
489915,16072
489915,36865
489915,91375
489915,455686
489915,490066
489915,644926
489915,829754
489915,829765
489915,1096245
71856,367910
71856,396055
71856,490044
769721,347144
769721,500509
769721,500510
769721,696058
769721,696064
769721,859070
769721,862573
769721,862575
769721,869470
725233,914916
317090,19860
966909,48188
966909,63576
966909,574599
966909,574602
5982,922100
160987,2934
160987,787589
496328,500509
496328,696064
496328,720206
496328,769721
496328,769746
496328,859070
496328,862575
660633,522273
660633,787612
862575,347144
862575,541092
834778,25473
834778,123162
834778,300121
834778,437175
291332,940737
569353,395993
687074,608685
687074,737189
687074,737212
610637,2216
610637,394425
510423,2931
510423,212831
510423,259987
1139697,773081
181740,69544
181740,245806
1064172,6796
1064172,6832
1064172,216568
1064172,933174
554143,356473
554143,403487
554143,555369
554143,675085
71864,160974
71864,201875
71864,855300
71864,1057925
968118,221732
968118,775081
968118,852764
968118,852799
968118,974556
1031832,82950
1031832,103473
1031832,103495
1031832,341778
1031832,628579
1031832,1016180
933353,27467
933353,356374
866807,338339
3421,3074
479398,508195
479398,654710
478049,2684
478049,2688
478049,2700
478049,25461
478049,30895
478049,479343
478049,654710
478049,720206
1017117,553428
192731,827332
738021,255570
738021,587132
829818,91374
478023,261822
478023,432651
478023,502844
478023,894541
300117,879991
300117,879992
27460,7009
27460,686577
887310,18518
887310,268671
887310,622089
887310,816157
78146,799306
24007,356376
421147,490196
446620,48083
446620,916873
491273,522464
6829,796681
179706,444520
179706,455574
179706,787900
179706,789887
179706,852811
179706,919781
179706,919783
179706,919785
179706,922475
179706,1111565
405449,747515
405449,1030151
574667,63576
574667,259987
827177,167900
827177,553428
827177,1071973
79675,240301
421394,6809
421394,105682
421394,877560
421394,964012
2906,787556
2906,797234
2906,797281
23984,16276
23984,36867
161406,6952
161406,161410
161406,421041
161406,686678
161406,776628
18956,359233
736815,747483
736815,880027
71859,768862
71859,783456
3404,682
3404,687
588295,478049
588295,611473
588295,675014
6992,18526
6992,849679
6986,770351
6958,421072
6958,835615
6958,1016180
2737,25346
2737,79664
2737,432778
2737,479385
2737,500519
2737,696045
2737,696053
3239,318
967757,967758
403352,82840
403352,341744
403352,341793
50052,918440
5816,103474
380279,123177
380279,654641
380279,747483
582326,2260
605212,2756
605212,261819
605212,479343
605212,776697
1030658,541092
1030658,747503
1030658,747558
88125,7424
160993,91375
160993,604228
160993,644929
3685,789895
4129,827332
4129,983868
6954,421044
6954,686683
797181,151580
797181,367934
797181,686667
859175,405449
859175,554744
859175,1030151
757570,16004
757570,632260
677012,413581
677012,687074
677012,737212
677012,737970
553602,36888
553602,217479
553602,604232
553602,829818
71852,160987
71852,160999
490043,173840
1125499,657828
822525,63037
822525,112416
822525,500494
822525,502864
822525,769559
822525,769739
822525,885882
987693,919781
36847,829816
291077,78173
291077,103493
291077,132342
291077,554328
291077,636341
291077,757563
720186,204935
720186,508195
720186,747506
1055226,455574
1055226,872661
1055226,919742
1055226,922474
1055226,979663
2942,787622
1006318,1130368
1006318,1136916
512826,334166
512826,558004
512826,607482
432680,649876
432680,935778
796198,1048319
286750,356473
286750,553733
286750,554143
286750,589277
286750,675085
927808,2733
927808,123162
927808,421665
927808,496282
927808,654676
927808,859079
738008,687080
816697,783639
1252,491344
874545,2733
874545,380279
874545,479360
874545,654641
874545,654646
874545,696045
874545,769733
874545,927813
874545,991036
396091,887343
787571,644926
323240,7026
323240,91344
323240,157833
444523,228854
444523,852811
444523,852812
444523,919781
444523,919785
455676,1122728
1002575,162851
1002575,393905
1002575,479352
1002575,879499
849658,18526
849658,796191
541286,479352
960852,6815
960852,169505
960852,421417
960852,460290
960852,1092975
217426,217408
217426,604317
217426,604318
987687,179732
987687,855349
686387,2767
686387,264569
686387,479352
686387,980706
610599,2316
922121,757563
1115545,334166
1115545,558004
348650,773036
686667,773154
686667,816209
736816,242578
736816,747513
736816,867306
736816,879991
736816,879992
736816,880027
736816,1030151
613931,553428
1136,940528
638282,340899
638282,432778
229330,18590
229330,151568
229330,816204
346918,261822
346918,649877
346918,769554
3065,1176
823194,456753
823194,823198
674191,389681
674191,389697
2696,2700
2696,123162
2696,479398
2696,496317
2696,541092
2696,654710
2696,720195
261819,25461
261819,123101
261819,479343
261819,654641
261819,769732
261819,835665
261819,880027
775154,539780
490064,16276
490064,36865
490064,413514
490064,644926
490064,644959
403476,26158
403476,675058
1045766,173810
1045766,223263
1045766,341795
1045766,356460
1045766,380128
1045766,510021
1045766,632260
812050,500524
1110699,592866
872704,872661
201875,2861
201875,2903
201875,217479
201875,1057925
574716,261856
574716,385121
574716,479385
574716,654641
569355,395993
7206,1673
7206,1680
7206,1971
809391,357061
809391,508195
809391,654710
809391,769535
809391,879508
809391,915123
773111,622089
50875,359714
50875,607482
615135,229332
615135,229360
1113013,216535
1113013,216538
1113013,525062
1113013,607464
1113013,607473
1113013,749930
1113013,846347
4318,1424
610648,334166
610648,451009
151568,18590
151568,887282
151568,887343
91746,2233
91746,331802
269889,292879
269889,404101
359265,63576
36834,797182
36834,829789
894554,2764
894554,30992
894554,261844
894554,261856
894554,496317
894554,688778
894554,696089
894554,769528
894554,879462
894554,927815
852778,979663
705618,579303
500478,347185
500478,437112
500478,437147
380302,508178
380302,654710
380302,817969
356387,26158
356387,887277
773153,622089
773153,773110
796191,490183
7048,421041
7048,421100
7048,609279
7048,849653
7048,880001
1441,428610
1088070,24151
1088070,687879
491382,699507
508410,367922
49188,771009
1139696,151586
1139696,245769
1139696,343735
1139696,413569
1139696,413575
1139696,607757
1139696,686555
1139696,737961
1139696,784178
1139696,1059912
563172,53534
563172,333866
563172,773036
887336,613480
887336,773110
887336,796223
555324,26158
555324,258436
555324,438413
946843,221732
946843,827165
5457,5464
1014467,6961
1014467,157759
1014467,161391
1014467,190894
1014467,323294
1014467,468070
1014467,490183
1014467,686611
1014467,733910
1014467,796191
301651,36865
301651,644959
720,1708
326197,2767
326197,264569
610674,887666
373627,491382
373627,501703
229361,151563
994793,690843
260893,82741
260893,916887
922494,3676
1131981,654641
456690,607466
456690,777051
456690,840900
456690,904390
1068483,331513
1068483,399607
1068483,1010072
333832,338339
333832,970862
926066,169568
926066,323290
926066,660496
432691,421712
432691,649851
432691,834738
432691,927792
432691,927796
604457,27584
604457,858608
822547,112489
1846,512831
776616,421100
396055,367910
604233,23913
604233,367922
797720,91746
797720,91864
797720,192660
797720,331802
638297,2748
638297,421100
638297,1139331
380265,123101
380265,123162
380265,242565
380265,300121
380265,541092
380265,654641
380265,879992
380265,1030151
380265,1030658
1030151,867306
1120236,2471
1120236,2478
512840,558004
140221,286652
1010072,331513
36859,797282
587082,27467
587082,103468
587082,356374
291253,922100
291253,1086131
347186,483684
347186,818003
347186,818004
609335,242580
609335,867306
609335,1030151
170947,157845
183377,413563
183377,909915
413569,784178
904595,625460
2447,356473
2447,554143
553561,71852
553561,160999
553561,217512
553561,528792
553561,1009482
217326,1048976
769562,2713
769562,496286
2733,123162
2733,479360
2733,541092
615182,91295
615182,516744
249261,167925
249261,398387
510483,574587
510483,745334
121318,579222
942,816226
104011,403487
104011,553733
104011,554143
104011,741518
554353,151568
91387,7040
91387,849610
756448,486267
756448,773036
16322,356428
16322,404014
16322,686667
16322,797281
6603,103427
865552,34754
865552,48083
865552,916871
769535,261822
769535,405449
769535,479352
769535,915124
545933,846418
545933,933174
820555,34754
820555,48083
820555,367499
820555,916871
223261,223263
223261,223269
223261,1022787
960863,496322
686675,421148
36890,15956
36890,16032
36890,396071
36890,396088
36890,797281
36890,829792
682508,234788
682508,341744
682508,425928
1012369,789623
326146,356334
326146,404092
63039,219149
4227,192731
4227,208582
4227,827332
4227,983868
2782,496320
2782,496322
2782,500509
103490,438509
103490,892763
103490,1044742
922474,455572
922474,789887
922474,919742
922474,919828
922474,979663
674997,6788
674997,6815
674997,257268
674997,456690
674997,733781
3905,502788
351974,221695
351974,775081
351974,940673
351974,946864
877560,6813
451055,188509
451055,333866
451055,684450
654644,242625
654644,409770
654644,409820
654644,747506
654644,879992
654644,1030151
1407,492431
1407,789623
432751,79664
432751,500519
274751,509535
274751,1020451
781613,359233
781613,359238
3224,890
1096250,1016180
1096250,1081957
257268,6788
257268,6815
257268,657828
257268,840900
323256,7062
323256,229398
451009,144712
451009,334166
23884,367940
500473,347144
500473,690843
5524,5315
510053,892618
751133,217394
751133,489919
751133,628632
922475,789887
922475,919742
922475,919781
922475,919783
922475,919785
922475,979663
405506,19860
769752,167904
769752,398382
769752,508186
769752,654641
769752,677613
769752,677616
769752,696094
769752,1121696
261844,2709
261844,2761
261844,2771
261844,123101
261844,479352
261844,496308
261844,688778
261844,696066
261844,720208
261844,879499
775152,356460
775152,1045766
1077538,63297
1077538,770333
202249,829818
202249,1100520
883020,6856
883020,460290
883020,840391
450999,486204
1057925,628559
1057925,787556
1057925,797181
1057925,1012313
356374,27467
2883,604230
2883,787577
749930,216535
749930,216537
749930,216538
396088,797281
477794,499378
380159,103495
528697,78146
323294,190894
323294,776615
323294,879991
323294,879992
927796,479378
927796,479385
927796,879461
973589,339812
973589,362353
973589,763980
377602,82561
377602,840900
181625,2942
181625,660615
870002,291169
870002,326529
870002,326590
870002,326594
870002,710777
162898,496305
6941,261822
6941,654641
421645,123148
143024,160968
783639,331523
783639,399605
859171,437095
859171,818004
227185,228861
2496,419555
2833,787570
794205,456690
632240,26158
632240,438413
921852,63090
921852,161391
921852,190894
921852,261856
921852,323294
921852,357061
921852,1014467
921852,1029301
722506,323240
935798,421712
935798,496286
935798,579506
935798,654710
935798,696064
935798,696083
1102823,63297
1102823,490202
1102823,770333
1102823,1077538
587106,91374
587106,615164
219205,294012
572583,690582
71880,2980
71880,404014
71880,1012313
30905,479378
30905,496296
30905,500524
30905,915148
