pid,articleid,title,publication_date,joid,prid
371270,1011777,Lower bounds for adaptive collect and related objects,2004-07-25,,371394
114526,1099402,Exemplar-based background model initialization,2005-11-11,,114594
396272,285982,Decoupled access/execute computer architectures,1998-08-01,,396354
326096,301366,Sublinear time algorithms for metric space problems,1999-05-01,,326166
18514,139416,Relative neighborhood graphs in three dimensions,1992-09-01,,18638
686555,314475,Surface approximation and geometric partitions,1994-01-23,,686692
401885,943857,Initial Observations of the Simultaneous Multithreading Pentium 4 Processor,2003-09-27,,401940
607911,949714,Representing medical images with partitioning trees,1992-10-19,,608017
6782,2007101,Contemporary study of cloud computing environment,2011-07-21,,6786
3560,2721963,Problem-oriented security patterns for requirements engineering,2014-07-09,,3656
771291,502588,Effective nearest neighbor indexing with the euclidean metric,2001-10-05,,771485
675028,312167,Data mining (Invited talk. Abstract only),1999-08-01,,675168
4028,2648745,"Platform-dependent, leakage-aware control of the driving current of embedded thermoelectric coolers",2013-09-04,,4123
437293,1142505,Efficient query processing in geographic web search engines,2006-06-27,,437555
18539,139436,Computing minimal spanning subgraphs in linear time,1992-09-01,,18638
523435,1065701,Multi-threaded reachability,2005-06-13,,523704
201886,1109582,Simultaneous diagonal flips in plane triangulations,2006-01-22,,202267
655,1753500,Lumino,2010-04-10,,1544
806596,973276,"Addressing CBIR efficiency, effectiveness, and retrieval subjectivity simultaneously",2003-11-07,,806652
5170,1995746,Kriging metamodeling in multi-objective simulation optimization,2009-12-13,,5618
5656,2500869,MFMS,2013-08-11,,5659
927793,545222,Slack,2002-05-01,,927841
995772,881987,MobiCom poster,2003-01-01,964035,
797192,314257,The path resistance method for bounding &#955;<subscrpt>2</subscrpt> of a Laplacian,1997-01-05,,797287
1061900,1070980,Exploring feedback and persuasive techniques at the sink,2005-07-01,961193,
1982,1409323,Making new learning environment in zoo by adopting mobile devices,2008-09-02,,2092
356473,375680,Locally adaptive dimensionality reduction for indexing large time series databases,2001-05-01,,356646
849664,165263,Shared memory consistency conditions for non-sequential execution,1993-08-01,,849700
7218,2181057,Social navigation with the collective mobile mood monitoring system,2011-09-28,,7379
2761,379265,Power and energy reduction via pipeline balancing,2001-05-01,,2786
16093,314873,Parametric polymatroid optimization and its geometric applications,1999-01-01,,16396
918416,1152418,Visual support for medical communication by using projector-based augmented reality and thermal markers,2005-12-05,,918595
1063792,571698,Adaptive packet sampling for flow volume measurement,2002-07-01,963665,
396195,285942,Retrospective: decoupled access/execute architectures,1998-08-01,,396354
684405,1073376,Pushing people around,2005-07-29,,684467
2925,997864,A b&#233;zier-based approach to unstructured moving meshes,2004-06-08,,2998
157759,167196,Space-efficient scheduling of multithreaded computations,1993-06-01,,157873
1039406,116734,An adaptive tenuring policy for generation scavengers,1992-01-02,961873,
4416,1995472,A brief introduction to optimization via simulation,2009-12-13,,5618
2270,1186174,Lumisight table,2004-08-08,,2322
496322,360158,Calpa,2000-12-01,,496333
781731,1315812,Student perceptions of reflections as an aid to learning,2006-02-01,,781776
25386,305194,Improving the performance of bristled CC-NUMA systems using virtual channels and adaptivity,1999-05-01,,25517
437179,263657,Cache miss equations,1997-07-11,,437189
217489,1070561,Finding the shortest bottleneck edge in a parametric minimum spanning tree,2005-01-23,,217543
161001,1064134,Inequalities for the curvature of curves and surfaces,2005-06-06,,161056
525310,1177088,Generating a privacy footprint on the internet,2006-10-25,,525394
490052,545475,"Explicit constructions of selectors and related combinatorial structures, with applications",2002-01-06,,490111
5210,1995758,Coupling simulation with heuristiclab to solve facility layout problems,2009-12-13,,5618
880751,958448,Sensitivity to haptic-audio asynchrony,2003-11-05,,880854
356310,314688,Kinetic binary space partitions for intersecting segments and disjoint triangles,1998-01-01,,356439
2211,1186160,Dis-Tansu,2004-08-08,,2322
6700,2007076,RR based grid scheduling algorithm,2011-07-21,,6786
528654,1283448,"Deterministic rendezvous, treasure hunts and strongly universal exploration sequences",2007-01-07,,528850
5224,1995763,"Generating, benchmarking and simulating production schedules",2009-12-13,,5618
7150,1985401,"Identifying, modifying, creating, and removing monitor rules for service oriented computing",2011-05-23,,7160
412037,996362,How people describe their image information needs,2004-06-07,,412346
769746,301002,Storageless value prediction using prior register values,1999-05-01,,769754
597170,305645,Recursive array layouts and fast parallel matrix multiplication,1999-06-01,,597176
1081958,226670,Sorting on a parallel pointer machine with applications to set expression evaluation,1996-03-01,962389,
1020190,510738,Sensor Network Tomography,2002-01-01,963665,
500519,266829,Procedure placement using temporal ordering information,1997-12-01,,500531
4453,1995492,Inside discrete-event simulation software,2009-12-13,,5618
1020705,1265956,A self-organizing defect tolerant SIMD architecture,2007-07-01,961867,
334224,1015769,Fair morse functions for extracting the topological structure of a surface mesh,2004-08-01,,334316
221695,347412,On network-aware clustering of Web clients,2000-08-28,,221748
1029632,185815,Counting networks,1994-09-01,962389,
775219,378783,Characterizing the memory behavior of Java workloads,2001-06-01,,775273
425928,1081949,Co-clustering by block value decomposition,2005-08-21,,426028
165,1753374,Hidden markets,2010-04-10,,1544
5803,1366848,Convergent SparseDT topology control protocol in dense sensor networks,2007-06-06,,6031
516754,314099,Optimal randomized EREW PRAM algorithms for finding spanning forests and for other basic graph connectivity problems,1996-01-28,,516777
644933,378649,"Binary space partitions for axis-parallel segments, rectangles, and hyperrectangles",2001-06-01,,644982
614047,1060819,ATMEN,2005-05-10,,614116
570,1753478,What would other programmers do,2010-04-10,,1544
683476,1250923,The role of compatibility in the diffusion of technologies through social networks,2007-06-11,,683570
904500,1040839,Beyond personalization,2005-01-10,,904629
156666,1278643,Synthesizing stochasticity in biochemical systems,2007-06-04,,156905
287320,245605,Untangling knots by stochastic energy optimization,1996-10-27,,287453
116450,1242251,Real-time 3D interaction for augmented and virtual reality,2002-07-21,,116706
490074,545491,Roundtrip spanners and roundtrip routing in directed graphs,2002-01-06,,490111
4242,1454044,kNN CF,2008-10-23,,4312
946053,780614,Alpha-shapes and flow shapes are homotopy equivalent,2003-06-09,,946089
638290,1168884,Comprehensively and efficiently protecting the heap,2006-10-20,,638343
1806,1409279,ButtonSchemer,2008-09-02,,2092
574766,1088178,Thread-Level Speculation on a CMP can be energy efficient,2005-06-20,,574834
6768,2007097,An efficient job scheduling algorithm for grid computing,2011-07-21,,6786
747483,165126,"Working sets, cache sizes, and node granularity issues for large-scale multiprocessors",1993-05-01,,747574
6643,2007060,Intrusion detection system using honeypots and swarm intelligence,2011-07-21,,6786
5540,1995867,Enabling value co-production in the provision of support service engineering solutions using digital manufacturing methods,2009-12-13,,5618
892618,253274,Range queries in OLAP data cubes,1997-06-01,,892782
367992,220336,Printed circuit board simplification,1995-09-01,,368011
2351,1658270,Experience with adapting a <i>WS-BPEL</i> runtime for eScience workflows,2009-11-20,,2411
385126,1024408,Scalable selective re-execution for EDGE architectures,2004-10-07,,385166
432556,1187317,SpotScents,2005-07-31,,432615
108,1753357,Crowdsourcing graphical perception,2010-04-10,,1544
112825,378751,Finding strongly connected components in parallel in particle transport sweeps,2001-07-03,,112835
560689,134031,Topological design of sculptured surfaces,1992-07-01,,560745
514615,318872,Restricted Fetch and &#934; operations for parallel processing,1989-06-01,,514635
544254,319072,An effective algorithm for parallelizing sort merge joins in the presence of data skew,1990-07-01,,544281
613501,320188,Visibility with a moving point of view,1990-01-01,,613591
1017,1753594,Documenting transitional information in EMR,2010-04-10,,1544
796159,103425,Fast approximation algorithms for multicommodity flow problems,1991-01-03,,796229
48331,1031543,Practical and robust geographic routing in wireless networks,2004-11-03,,48446
859126,277886,Monitoring shared virtual memory performance on a Myrinet-based PC cluster,1998-07-13,,859177
690843,801719,Decoupled access/execute computer architectures,1982-04-01,,690890
5240,1995767,Simulating an applied model to optimize cell production and parts supply (Mizusumashi) for laptop assembly,2009-12-13,,5618
1020451,240498,Developing the Blacksburg electronic village,1996-12-01,961004,
68089,802206,Isomorphism of graphs with bounded eigenvalue multiplicity,1982-05-05,,68113
396147,263082,Efficient breakout routing in printed circuit boards,1997-08-01,,396174
696094,279401,Effects of architectural and technological advances on the HP/Convex Exemplar's memory and communication performance,1998-04-16,,696108
396253,285971,Retrospective: simultaneous multithreading,1998-08-01,,396354
1039427,1129592,Medium access control issues in sensor networks,2006-04-28,963665,
1002292,1063788,Network file storage with graceful performance degradation,2005-05-01,962356,
2856,997842,Deterministic sampling and range counting in geometric data streams,2004-06-08,,2998
655669,769984,A survey and performance analysis of software platforms for interactive cluster-based multi-screen rendering,2003-05-22,,655718
628591,509977,Monotonicity testing over general poset domains,2002-05-19,,628649
797235,314368,Line transversals of balls and smallest enclosing cylinders in three dimensions,1997-01-05,,797287
970093,1133560,Fine-grained layered multicast with STAIR,2006-02-01,967203,
696083,279392,Threaded multiple path execution,1998-04-16,,696108
572564,808172,Instruction issue logic for pipelined supercomputers,1984-01-01,,572635
1733,1409261,Mobiphos,2008-09-02,,2092
456753,990095,Implementing software on resource-constrained mobile sensors,2004-06-06,,456760
229312,313696,Voronoi diagrams of lines in 3-space under polyhedral convex distance functions,1995-01-22,,229415
510821,1272720,Liquid simulation on lattice-based tetrahedral meshes,2007-08-03,,510834
776639,215436,Efficient techniques for fast nested barrier synchronization,1995-07-20,,776664
998679,357444,A data modeling approach for office information systems,1983-10-01,966633,
834738,377854,Reducing the complexity of the issue logic,2001-06-17,,834779
723006,801903,A multiple stream microprocessor prototype system,1980-05-06,,723101
885873,825681,Origin 2000 Design Enhancements for Communication Intensive Applications,1998-10-12,,886023
261856,605420,"An adaptive, non-uniform cache structure for wire-delay dominated on-chip caches",2002-10-01,,261882
6299,1690455,Running or gaming,2009-10-29,,6543
318,1753418,The NiCE Discussion Room,2010-04-10,,1544
1081967,195651,Reliable communication over unreliable channels,1994-11-01,962389,
996387,507235,Distributed query evaluation on semistructured data,2002-03-01,962660,
503947,507720,Cool security trends,2002-06-03,,503985
1101094,543461,Pseudo-random thoughts,2002-07-01,964657,
414913,1064031,First-price path auctions,2005-06-05,,414938
1588,1559778,ADML,2009-06-16,,1647
3681,1016695,Is your caching resolver polluting the internet?,2004-09-03,,3712
705394,1186260,Skeletal parameter estimation from optical motion capture data,2004-08-08,,705742
667063,1327954,First International Workshop and Challenge on Time Series Classification,2007-08-12,,667095
16355,314944,"Emulations between QSM, BSP, and LogP",1999-01-01,,16396
62,1753345,Across boundaries of influence and accountability,2010-04-10,,1544
333838,1073281,Animating gases with hybrid meshes,2005-07-01,,333940
1040,1753601,Passing on &#38; putting to rest,2010-04-10,,1544
2528,949555,Visualization and three-dimensional image processing of Positron Emission Tomography (PET) brain images,1990-10-23,,2677
658345,1128061,Speculative early register release,2006-05-03,,658386
955729,1111419,Animating blendshape faces by cross-mapping motion capture data,2006-03-14,,955802
927792,545221,Efficient dynamic scheduling through tag elimination,2002-05-01,,927841
875104,1187241,Correlated visibility sampling for direct illumination,2005-07-31,,875197
658186,339426,Stable Internet routing without global coordination,2000-06-01,,658188
6173,1690423,Assisted animated production creation and programme generation,2009-10-29,,6543
1937,1409310,Designing a new mobile search service,2008-09-02,,2092
613985,1060785,Three-level caching for efficient query processing in large Web search engines,2005-05-10,,614116
1057,1753605,InAir,2010-04-10,,1544
15926,314525,I/O-efficient dynamic point location in monotone planar subdivisions,1999-01-01,,16396
658339,1128059,"Kilo-instruction processors, runahead and prefetching",2006-05-03,,658386
642319,808667,Tight bounds on the complexity of parallel sorting,1984-12-01,,642438
341918,304581,The Aqua approximate query answering system,1999-06-01,,341951
6754,2007093,Wireless machine monitoring embodiment using mobile computing,2011-07-21,,6786
991033,1054911,Power-performance simulation,2004-03-01,964855,
326346,1077689,Synonymous address compaction for energy reduction in data TLB,2005-08-08,,326361
991036,1054914,SimFlex,2004-03-01,964855,
3014,1569151,"Roles, rights, and responsibilities",2009-05-17,,3038
829765,304916,Geometric pattern matching,1999-06-13,,829849
575861,1080188,Identifying BGP routing table transfers,2005-08-22,,575870
82629,236376,Formal design constraints,1996-10-01,,82663
228701,810110,Computers and ethical judgment in organizations,1978-01-01,,228851
347330,965357,A haptic interface for the explorable virtual human,2003-07-27,,347420
868969,1101617,Art and technology in interface devices,2005-11-07,,868972
569332,276891,"Raising roofs, crashing cycles, and playing pool",1998-06-07,,569415
622072,129753,Shallow multiplication circuits and wise financial investments,1992-07-01,,622125
292879,279119,An algorithm for finding novel gapped motifs in DNA sequences,1998-03-01,,292930
909891,288137,3D scan conversion of CSG models into distance volumes,1998-10-01,,909932
72099,581489,Modular typechecking for hierarchically extensible datatypes and functions,2002-09-17,,72141
2035,1409336,Picture browsing and map interaction using a projector phone,2008-09-02,,2092
942778,62144,Treaty of Orlando,1987-01-01,,942801
855300,1007400,On coresets for k-means and k-median clustering,2004-06-13,,855356
71849,1137905,Medial axis approximation and unstable flow complex,2006-06-05,,71907
4232,1454042,Who predicts better?,2008-10-23,,4312
639,1753495,Steadied-bubbles,2010-04-10,,1544
421085,140923,Subset barrier synchronization on a private-memory parallel system,1992-06-01,,421149
1770,1409270,User needs and design guidelines for mobile services for sharing digital life memories,2008-09-02,,2092
396107,263035,Classical computational geometry in GeomNet,1997-08-01,,396174
6728,2007085,Development of traffic light control system based on fuzzy logic,2011-07-21,,6786
792702,944665,Architectural versus physical solutions for on-chip communication challenges,2003-10-01,,792771
508387,513429,Vertex-unfoldings of simplicial manifolds,2002-06-05,,508415
829816,304991,Efficient algorithms for line and curve segment intersection using restricted predicates,1999-06-13,,829849
4307,1454068,Context-aware recommender systems,2008-10-23,,4312
3520,2399160,Motor learning in a mixed reality environment,2012-10-14,,3528
71897,1137929,Illustrating the streaming construction of 2D delaunay triangulations,2006-06-05,,71907
599879,1086133,Seigow Matsuoka and Naoko Tosa,2005-08-01,,600066
1134350,319594,Associative hardware and software techniques for integrity control,1981-09-01,962660,
4378,1080790,A framework for network media optimization in multihomed QoS networks,2005-09-02,,4396
859086,277852,Hardware and software support for speculative execution of sequential binaries on a chip-multiprocessor,1998-07-13,,859177
874947,1187161,Real illumination from virtual environments,2005-07-31,,875197
76095,1073859,Brief announcement,2005-07-17,,76153
6840,117971,Communication as fair distribution of knowledge,1991-11-01,,6885
607745,641493,Non-invasive interactive visualization of dynamic architectural environments,2003-04-27,,607801
5396,1995824,An experimental framework to analyze alternative decision-making strategies using situational simulations in construction management,2009-12-13,,5618
207865,582154,Termination of probabilistic concurrent programs,1982-01-25,,207943
887299,161009,Tentative prune-and-search for computing Voronoi vertices,1993-07-01,,887363
395526,1127802,Sweeps over wireless sensor networks,2006-04-19,,395721
427231,509284,Some DML instruction sequences for application program analysis and conversion,1978-05-31,,427248
1133201,1341443,The need for simulation in evaluating anomaly detectors,2008-01-30,963665,
151511,177548,Computing many faces in arrangements of lines and segments,1994-06-10,,151601
82864,335405,XMill,2000-05-16,,83116
523678,1065816,Optimal procrastinating voltage scheduling for hard real-time systems,2005-06-13,,523704
5332,1995798,Verification and validation activities within a new procedure model for V&amp;V in production and logistics simulation,2009-12-13,,5618
737191,267043,Haar wavelets over triangular domains with applications to multiresolution models for flow over a sphere,1997-10-01,,737329
2487,949541,Interpreting a 3D object from a rough 2D line drawing,1990-10-23,,2677
926074,781526,The design and implementation of a parallel array operator for the arbitrary remapping of data,2003-06-11,,926086
574602,958502,An evaluation of multi-resolution storage for sensor networks,2003-11-05,,574708
3424,2399132,The value of things,2012-10-14,,3528
6794,117957,Using key object opportunism to collect old objects,1991-11-01,,6885
1008304,1147958,Split-ordered lists,2006-05-01,962389,
3993,2648738,Energy-efficient computing using adaptive table lookup based on nonvolatile memories,2013-09-04,,4123
49205,965549,Canopy climb,2003-07-27,,49281
296750,632888,Managing temporal detail in virtual environments,1999-05-15,,296859
490196,127849,Density graphs and separators,1991-03-01,,490231
946837,505205,Topology modeling via cluster graphs,2001-11-01,,946890
161034,1064151,Implementing time-varying contour trees,2005-06-06,,161056
268184,802657,Digital signature schemes for computer communication networks,1981-10-01,,268267
866093,109686,Polynomial-size nonobtuse triangulation of polygons,1991-06-01,,866100
769558,859650,Dynamically managing the communication-parallelism trade-off in future clustered processors,2003-05-01,,769582
15995,314560,Two-point Euclidean shortest path queries in the plane,1999-01-01,,16396
3599,2721980,Interaction design patterns for interactive video players in video-based learning environments,2014-07-09,,3656
380719,244147,Negotiation for automated generation of temporal multimedia presentations,1997-02-01,,380904
356988,378997,Architecture and design of AlphaServer GS320,2000-11-12,,357068
260951,1064241,Fundamental bounds on the accuracy of network performance measurements,2005-06-06,,261060
770142,1049969,A Computational Database System for Generatinn Unstructured Hexahedral Meshes with Billions of Elements,2004-11-06,,770249
217409,1070516,Limitations of cross-monotonic cost sharing schemes,2005-01-23,,217543
217451,1070542,Oblivious routing on node-capacitated and directed graphs,2005-01-23,,217543
6823,117967,Formal techniques for OO software development,1991-11-01,,6885
525332,1177099,Detection and identification of network anomalies using sketch subspaces,2006-10-25,,525394
608709,949636,The visual comparison of three sequences,1991-10-22,,608808
673382,141941,Reuse (panel),1992-10-31,,673471
840,1753551,"Experience, adjustment, and engagement",2010-04-10,,1544
1007845,295662,Equality-based flow analysis versus recursive types,1998-11-01,961873,
579546,825758,Localizing Non-Affine Array References,1999-10-12,,579576
542439,509594,The effects of communication parameters on end performance of shared virtual memory clusters,1997-11-15,,542540
123177,237205,Operating system support for improving data locality on CC-NUMA compute servers,1996-09-01,,123180
1654,1409243,A large scale study of European mobile search behaviour,2008-09-02,,2092
4540,1995533,Bayesian non-parametric simulation of hazard functions,2009-12-13,,5618
6222,1690435,Collaborative haptic play with building blocks,2009-10-29,,6543
1643,1559794,Digital oil and gas pipeline visualization using X3D,2009-06-16,,1647
1103056,357005,Architectural support for copy and tamper resistant software,2000-11-01,961950,
174,1753376,Why users of yahoo!,2010-04-10,,1544
1227,1753654,Protractor,2010-04-10,,1544
1093586,163375,Software complexity and maintenance costs,1993-11-01,961004,
696097,279403,Flexible use of memory for replication/migration in cache-coherent DSM multiprocessors,1998-04-16,,696108
1135634,1150338,Efficient algorithms for bichromatic separability,2006-04-01,964550,
866865,1128971,A foveal inset for large display environments,2006-06-14,,866983
217515,1070582,Controlled perturbation for Delaunay triangulations,2005-01-23,,217543
6805,117961,Building generic user interface tools,1991-11-01,,6885
331525,97897,Artificial reality with force-feedback: development of desktop virtual space with compact master manipulator,1990-09-01,,331583
553562,1247107,Probabilistic embeddings of bounded genus graphs into planar graphs,2007-06-06,,553611
4508,1995518,Reinforcement learning for model building and variance-penalized control,2009-12-13,,5618
569375,276918,Approximation algorithms for multiple-tool miling,1998-06-07,,569415
619,1753490,ColorPIN,2010-04-10,,1544
493036,1125727,Visual resonator,2006-04-21,,493292
574587,958493,Understanding packet delivery performance in dense wireless sensor networks,2003-11-05,,574708
642401,808703,Finding small simple cycle separators for 2-connected planar graphs.,1984-12-01,,642438
114517,1099399,Multimedia surveillance systems,2005-11-11,,114594
346906,782831,Predictive dynamic thermal management for multimedia applications,2003-06-23,,346964
644927,378643,Walking in a triangulation,2001-06-01,,644982
1297,1753673,High accuracy position and orientation detection in two-dimensional communication network,2010-04-10,,1544
644959,378682,Detecting undersampling in surface reconstruction,2001-06-01,,644982
615204,237410,Partial surface matching by using directed footprints,1996-05-01,,615241
85284,1255333,A domain-specific programming language for secure multiparty computation,2007-06-14,,85320
402212,301362,Resource discovery in distributed networks,1999-05-01,,402255
91099,1065201,Space efficient mining of multigraph streams,2005-06-13,,91129
4326,2490820,Visual patterns with profiling blueprint,2013-07-01,,4331
722517,341811,Comparing the effectiveness of fine-grain memory caching against page migration/replication in reducing traffic in DSM clusters,2000-07-09,,722548
1059869,174144,Taking random walks to grow trees in hypercubes,1993-07-01,962389,
684462,1073413,Physically based grasping control from example,2005-07-29,,684467
1102001,1132465,Efficient remote profiling for resource-constrained devices,2006-03-01,964641,
261822,605403,Automatically characterizing large scale program behavior,2002-10-01,,261882
1218,1753651,Supporting sandtray therapy on an interactive tabletop,2010-04-10,,1544
1121791,970494,Eight visions of CHI,2001-10-01,964657,
269982,369239,Using motion planning to study protein folding pathways,2001-04-22,,269997
424895,133079,MemSpy: analyzing memory system bottlenecks in programs,1992-06-01,,424962
2309,1186185,Time follower's vision,2004-08-08,,2322
30765,949915,"Towards interactive steering, visualization and animation of unsteady finite element simulations",1993-10-25,,30781
224141,1016549,Zoned federation of game servers,2004-08-30,,224196
7110,808153,How does ada affect the way we teach software engineering?How does software engineering affect the way we teach ada?,1984-01-01,,7123
4277,1454054,The value of personalised recommender systems to e-business,2008-10-23,,4312
4440,1995488,Introduction to modeling and generating probabilistic input processes for simulation,2009-12-13,,5618
892476,223605,DASD dancing,1995-05-01,,892523
3783,2648688,Energy minimization for fault tolerant real-time applications on multiprocessor platforms using checkpointing,2013-09-04,,4123
762336,289055,Verification by approximate forward and backward reachability,1998-11-01,,762427
1849,1409287,Evaluation of predictive text and speech inputs in a multimodal mobile route guidance application,2008-09-02,,2092
30876,774865,Hierarchical Scheduling Windows,2002-11-18,,31012
409826,195579,Hardware support for fast capability-based addressing,1994-11-01,,409829
610667,1278300,Spinning-disc 3D television,2007-08-05,,610694
799306,566304,A linear bound on the complexity of the delaunay triangulation of points on polyhedral surfaces,2002-06-17,,799381
4715,1995598,Generation and analysis of large synthetic social contact networks,2009-12-13,,5618
6616,1833288,Research issues in mining multiple data streams,2010-07-25,,6619
829793,304978,Interval methods for kinetic simulations,1999-06-13,,829849
433497,191115,Methodology standards,1994-10-01,,433552
496169,974642,Interface surfaces for protein-protein complexes,2004-03-27,,496234
1052658,165002,Parallel algorithms column 1,1993-12-01,962726,
696045,279363,Memory system characterization of commercial workloads,1998-04-16,,696108
157721,167160,Polynomial space polynomial delay algorithms for listing families of graphs,1993-06-01,,157873
879478,564019,Graph-partitioning based instruction scheduling for clustered processors,2001-12-01,,879516
553539,1247094,Towards an implementation of the 3D visibility skeleton,2007-06-06,,553611
217514,1070581,Greedy optimal homotopy and homology generators,2005-01-23,,217543
496305,360147,Very low power pipelines using significance compression,2000-12-01,,496333
815482,1016756,"Memory system design space exploration for low-power, real-time speech recognition",2004-09-08,,815515
919785,1005726,A model of BGP routing for network engineering,2004-06-01,,919849
737189,267040,Multiresolution tetrahedral framework for visualizing regular volume data,1997-10-01,,737329
937061,1030246,Converting a C pointer to an Ada access type,1989-02-21,,937320
1195,1753645,Modeling dwell-based eye pointing target acquisition,2010-04-10,,1544
385121,1024406,Coherence decoupling,2004-10-07,,385166
1434,1753707,How to support designers in getting hold of the immaterial material of software,2010-04-10,,1544
579522,825750,Quantifying the Benefits of SPECint Distant Parallelism in Simultaneous Multi-Threading Architectures,1999-10-12,,579576
444528,1251208,IP fault localization via risk modeling,2005-05-02,,444588
875168,1187276,Streaming compression of triangle meshes,2005-07-31,,875197
827332,312682,An algorithmic framework for performing collaborative filtering,1999-08-01,,827436
1079879,568458,An experimental assignment on random processes,2001-03-01,962726,
829844,305004,Kinetic data structures,1999-06-13,,829849
1191,1753643,Curator,2010-04-10,,1544
1030871,505691,Effects of ensemble-TCP,2000-01-01,963665,
806371,1060263,Boolean operations on 3D selective Nef complexes,2005-06-13,,806394
216535,108870,The perspective wall,1991-03-01,,216715
993235,69,Space-Time Trade-Offs for Banded Matrix Problems,1984-03-30,962389,
6918,1353621,Global interconnections in FPGAs,2008-04-05,,6946
686457,566471,TLB and snoop energy-reduction using virtual caches in low-power chip-multiprocessors,2002-08-12,,686502
604335,982932,Point containment in the integer hull of a polyhedron,2004-01-11,,604369
352045,1028829,Exploiting as hierarchy for scalable route selection in multi-homed stub networks,2004-10-25,,352064
901468,331843,PILOT,2000-03-01,,901621
885132,165919,Visualizing the behavior of object-oriented systems,1993-10-01,,885169
5369,1995813,An overview of the cosye environment for construction simulation,2009-12-13,,5618
132338,564739,A Monte Carlo algorithm for fast projective clustering,2002-06-03,,132485
710575,1066161,Holistic aggregates in a networked world,2005-06-14,,710855
204935,224622,A data cache with multiple caching strategies tuned to different types of locality,1995-07-03,,204971
292809,279086,The hierarchical organization of molecular structure computations,1998-03-01,,292930
4916,1995664,A simulation solution of the integration of wind power into an electricity generating network,2009-12-13,,5618
1680,1409248,Does context matter in quality evaluation of mobile television?,2008-09-02,,2092
1014529,357244,Real-Time Synchronization of Interprocess Communications,1984-04-01,961873,
460290,504300,Encapsulating objects with confined types,2001-10-01,,460317
279938,1031653,Lumisight table,2004-11-06,,280070
340904,1006731,Extended Split-Issue,2004-03-02,,340910
82950,335450,Congressional samples for approximate answering of group-by queries,2000-05-16,,83116
288642,641050,Semantic transcoding for live video server,2002-12-01,,288875
841674,28708,SOAR: Smalltalk without bytecodes,1986-06-01,,841748
