prid,proceedingid,title,subtitle,proc_desc,con_city,con_state,con_country,con_start_date,con_end_date,publication_date,puid
524153,41735,Artificial intelligence and law,,Proceedings of the 1st international conference,Boston,Massachusetts,USA,1997-05-27,1987-05-29,1987-12-01,1545
524343,800049,Human Factors in Computing Systems,,Proceedings of the 1982 Conference,Gaithersburg,Maryland,USA,1982-03-15,1982-03-17,1982-03-15,1545
524490,2341836,,,ACM SIGGRAPH 2012 Computer Animation Festival,Los Angeles,California,,2012-08-05,2012-08-09,2012-08-05,1545
524701,1999593,Human Factors in Computing Systems,,Proceedings of the IX Symposium,Belo Horizonte,Minas Gerais,Brazil,2010-10-05,2010-10-08,2010-10-05,365912
524738,1163698,Wireless multimedia networking and performance modeling,,Proceedings of the 2nd ACM international workshop,Terromolinos,,Spain,2006-10-06,2006-10-06,2006-10-06,1545
524912,2248371,Mobile Ad Hoc Networking and Computing,,Proceedings of the thirteenth ACM international symposium,Hilton Head,South Carolina,USA,2012-06-11,2012-06-14,2012-06-11,1545
524985,263698,"Object-oriented programming, systems, languages, and applications",,Proceedings of the 12th ACM SIGPLAN conference,Atlanta,Georgia,USA,1997-10-05,1997-10-09,1997-10-09,1545
525037,2534732,Crowdsourced and Volunteered Geographic Information,,Proceedings of the Second ACM SIGSPATIAL International Workshop,Orlando,Florida,,2013-11-05,2013-11-05,2013-11-05,1545
525088,192426,User interface software and technology,,Proceedings of the 7th annual ACM symposium,Marina del Rey,California,USA,1994-11-02,1994-11-04,1994-11-02,1545
525124,1072530,"End-to-end, sense-and-respond systems, applications and services",,Proceedings of the 2005 workshop,Seattle,Washington,,2005-06-05,2005-06-05,2005-06-05,34855
525296,1368310,"Information, computer and communications security",,Proceedings of the 2008 ACM symposium,Tokyo,,Japan,2008-03-18,2008-03-20,2008-03-18,1545
525394,1177080,Internet measurement,,Proceedings of the 6th ACM SIGCOMM conference,Rio de Janeriro,,Brazil,2006-10-25,2006-10-27,2006-10-25,1545
525760,2594368,"Mobile systems, applications, and services",,Proceedings of the 12th annual international conference,Bretton Woods,New Hampshire,USA,2014-06-16,2014-06-19,2014-06-02,1545
525803,2390895,User experience in e-learning and augmented technologies in education,,Proceedings of the 2012 ACM workshop,Nara,,Japan,2012-11-02,2012-11-02,2012-11-02,1545
525867,2387218,QoS and security for wireless and mobile networks,,Proceedings of the 8h ACM symposium,Paphos,,Cyprus,2012-10-24,2012-10-25,2012-10-24,1545
525976,143242,Symbolic and algebraic computation,,Papers from the international symposium,Berkeley,California,USA,1992-07-27,1992-07-29,1992-08-01,1545
525998,1101560,Aspect oriented middleware development,,Proceedings of the 1st workshop,Grenoble,,France,2005-11-28,2005-12-02,2005-11-28,1545
526108,1988008,Software Engineering for Adaptive and Self-Managing Systems,,Proceedings of the 6th International Symposium,"Waikiki, Honolulu",HI,USA,2011-05-23,2011-05-24,2011-05-23,1545
526467,1233341,,,Proceedings of the 45th annual southeast regional conference,Winston-Salem,North Carolina,,2007-03-23,2007-03-24,2007-03-23,1545
526493,800201,Software metrics,part 2,Selected papers of the 1982 ACM SIGMETRICS workshop,Seattle,Washington,,1982-08-30,1982-09-01,1982-08-30,1545
526583,199544,Ethics in the computer age,,Proceedings of the conference,Galtinburg,Tennessee,USA,1994-11-11,1994-11-13,1994-11-15,1545
526610,1180092,,,ACM SIGGRAPH 2006 Special sessions,Boston,Massachusetts,,2006-07-30,2006-08-03,2006-07-30,1545
526799,2379256,Human-Computer Interaction,,Proceedings of the 13th International Conference of the NZ Chapter of the ACM's Special Interest Group,Dunedin,,New Zealand,2012-07-02,2012-07-03,2012-07-02,1545
527017,2071536,,,Proceedings of the 23rd Australian Computer-Human Interaction Conference,Canberra,,Australia,2011-11-28,2011-12-02,2011-11-28,1545
527061,2307849,Mobile cloud computing and services,,Proceedings of the third ACM workshop,Low Wood Bay,Lake District,UK,2012-06-25,2012-06-25,2012-06-25,1545
527167,2325676,Application and Theory of Automation in Command and Control Systems,,Proceedings of the 2nd International Conference,London,,United Kingdom,2012-05-29,2012-05-31,2012-05-29,527168
527263,2377310,Future Internet Technologies,,Proceedings of the 7th International Conference,Seoul,,Korea,2012-09-11,2012-09-12,2012-09-11,1545
527372,2512938,Online social networks,,Proceedings of the first ACM conference,Boston,Massachusetts,USA,2013-10-07,2013-10-08,2013-10-07,1545
527434,1988051,Software Engineering for Sensor Network Applications,,Proceedings of the 2nd Workshop,"Waikiki, Honolulu",HI,USA,2011-05-22,2011-05-22,2011-05-22,1545
527482,1413907,Haptic user interfaces in ambient media systems,,Proceedings of the 2008 Ambi-Sys workshop,Quebec City,,Canada,2008-02-11,2008-02-14,2008-02-14,6032
527506,2489300,Quality Assurance for Service-based Applications,,Proceedings of the 2013 International Workshop,Lugano,,Switzerland,2013-07-15,2013-07-15,2013-07-15,1545
527558,800207,Software for partial differential equations,,Proceedings of the SIGNUM meeting,Moffitt Field,California,USA,1975-12-08,1975-12-09,1975-12-08,1545
527687,800059,Computer graphics and interactive techniques,,Proceedings of the 10th annual conference,Detroit,Michigan,USA,1983-07-25,1983-07-29,1983-07-25,1545
527779,1995412,SImilarity Search and APplications,,Proceedings of the Fourth International Conference,Lipari,,Italy,2011-06-30,2011-07-01,2011-06-30,1545
528092,1858171,Designing Interactive Systems,,Proceedings of the 8th ACM Conference,Aarhus,,Denmark,2010-08-16,2010-08-20,2010-08-16,1545
528193,1378191,Network and operating systems support for digital audio and video,,Proceedings of the 2006 international workshop,Newport,Rhode Island,,2006-11-22,2006-11-23,2006-05-26,1545
528295,1921206,,,Proceedings of the ACM CoNEXT Student Workshop,Philadelphia,Pennsylvania,,2010-11-30,2010-11-30,2010-11-30,1545
528491,1250662,Computer architecture,,Proceedings of the 34th annual international symposium,San Diego,California,USA,2007-06-09,2007-06-13,2007-06-09,1545
528502,2451613,Modularity in systems software,,Proceedings of the 3rd workshop,Fukuoka,,Japan,2013-03-25,2013-03-25,2013-03-25,1545
528850,1283383,Discrete algorithms,,Proceedings of the eighteenth annual ACM-SIAM symposium,New Orleans,Louisiana,,2007-01-07,2007-01-09,2007-01-07,16397
528919,1929501,Partial evaluation and program manipulation,,Proceedings of the 20th ACM SIGPLAN workshop,Austin,Texas,USA,2011-01-24,2011-01-25,2011-01-24,1545
528965,944705,Functional programming,,Proceedings of the eighth ACM SIGPLAN international conference,Uppsala,,Sweden,2003-08-25,2003-08-29,2003-08-25,1545
529070,74540,Symbolic and algebraic computation,,Proceedings of the ACM-SIGSAM 1989 international symposium,Portland,Oregon,USA,1989-07-17,1989-07-19,1989-07-17,1545
529115,1867699,Location Based Social Networks,,Proceedings of the 2nd ACM SIGSPATIAL International Workshop,San Jose,California,,2010-11-02,2010-11-02,2010-11-02,1545
529174,2447481,Analytics for Big Geospatial Data,,Proceedings of the 1st ACM SIGSPATIAL International Workshop,Redondo Beach,California,,2012-11-06,2012-11-06,2012-11-06,1545
529624,2070942,Embedded Networked Sensor Systems,,Proceedings of the 9th ACM Conference,Seattle,Washington,,2011-11-01,2011-11-04,2011-11-01,1545
529775,1926180,Computing for Development,,Proceedings of the First ACM Symposium,London,,United Kingdom,2010-12-17,2010-12-18,2010-12-17,1545
529970,2554797,Innovations in theoretical computer science,,Proceedings of the 5th conference,Princeton,New Jersey,USA,2014-01-12,2014-01-14,2014-01-12,1545
530026,2666759,Software Engineering Challenges for the Smart Grid,,Proceedings of the First International Workshop,Zurich,,Switzerland,2012-06-03,2012-06-03,2012-06-03,4124
530083,1050491,3D Web technology,,Proceedings of the tenth international conference,Bangor,,United Kingdom,2005-03-29,2005-04-01,2005-03-29,1545
530130,1850822,Data Engineering for Wireless and Mobile Access,,Proceedings of the Ninth ACM International Workshop,Indianapolis,Indiana,,2010-06-06,2010-06-06,2010-06-06,1545
530208,320134,Advances in geographic information systems,,Proceedings of the 7th ACM international symposium,Kansas City,Missouri,USA,1999-11-02,1999-11-06,1999-11-01,1545
530292,1094562,Critical computing,between sense and sensibility,Proceedings of the 4th decennial conference,Aarhus,,Denmark,2005-08-20,2005-08-24,2005-08-20,1545
530348,2689684,Data Intensive Scalable Computing Systems,,Proceedings of the 2014 International Workshop,New Orleans,Louisiana,,2014-11-16,2014-11-21,2014-11-16,4124
530365,1610304,Simplifying Complex Network for Practitioners,,Proceedings of the 1st Annual Workshop,Venice,,Italy,2009-07-01,2009-07-01,2009-07-01,1545
530454,952786,Software specification and design,,Proceedings of the 6th international workshop,Como,,Italy,1991-10-25,1991-10-26,1991-10-25,2678
530713,224818,,,Proceedings of the 1995 Asia and South Pacific Design Automation Conference,"Makuhari, Massa, Chiba",,Japan,1995-08-29,1995-09-01,1995-08-01,1545
530760,1996109,Scientific cloud computing,,Proceedings of the 2nd international workshop,San Jose,California,USA,2011-06-08,2011-06-08,2011-06-08,1545
530988,2384716,"Systems, programming, and applications: software for humanity",,Proceedings of the 3rd annual conference,Tucson,Arizona,USA,2012-10-19,2012-10-26,2012-10-19,1545
531107,355214,Information retrieval with Asian languages,,Proceedings of the fifth international workshop on,Hong Kong,,China,2000-09-30,2000-10-01,2000-11-01,1545
531235,800136,APL: part 1,,Proceedings of the international conference,New York,New York,USA,1979-05-30,1979-06-01,1979-05-30,1545
531270,2076674,Formal Techniques for Java-Like Programs,,Proceedings of the 13th Workshop,Lancaster,,United Kingdom,2011-07-25,2011-07-29,2011-07-25,1545
531414,1543137,Mobile and Ubiquitous Multimedia,,Proceedings of the 7th International Conference,Ume&#229;,,Sweden,2008-12-03,2008-12-05,2008-12-03,1545
532695,2433508,,,Proceedings of the Winter Simulation Conference,Baltimore,Maryland,,2010-12-05,2010-12-08,2010-12-05,5619
532761,2386154,Parallel Graphics and Visualization,,Proceedings of the 7th Eurographics conference,Lugano,,Switzerland,2007-05-20,2007-05-21,2007-05-20,13696
532817,1594156,Testing Database Systems,,Proceedings of the Second International Workshop,Providence,Rhode Island,,2009-06-29,2009-06-29,2009-06-29,1545
532836,1462728,,,Proceedings of the 5th Middleware doctoral symposium,Leuven,,Belgium,2008-12-01,2008-12-01,2008-12-01,1545
532877,2619112,Managing and Mining Enriched Geo-Spatial Data,,Proceedings of Workshop,Snowbird,UT,USA,2014-06-22,2014-06-27,2014-06-22,1545
532921,1408654,Virtualization technology in distributed computing,,Proceedings of the 2nd international workshop,Reno,Nevada,,2007-11-12,2007-11-12,2007-11-12,1545
532951,2524828,Ranking in Databases,,Proceedings of the 7th International Workshop,Riva del Garda,,Italy,2013-08-30,2013-08-30,2013-08-30,1545
532994,567067,Principles of programming languages,,Proceedings of the 10th ACM SIGACT-SIGPLAN symposium,Austin,Texas,,1983-01-24,1983-01-26,1983-01-24,1545
533148,1324892,Computer-Human Interaction,Entertaining User Interfaces,Proceedings of the 19th Australasian conference,Adelaide,,Australia,2007-11-28,2007-11-30,2007-11-28,1545
533219,1788446,Functional and logic programming,,Proceedings of the 9th international conference,Ise,,Japan,2008-04-14,2008-04-16,2008-04-14,13854
533603,2457524,,,Proceedings of the The 2012 IEEE/WIC/ACM International Joint Conferences on Web Intelligence and Intelligent Agent Technology,,,,2012-12-04,2012-12-07,2012-12-04,3039
533766,302163,Software engineering,,Proceedings of the 20th international conference,Kyoto,,Japan,1998-04-19,1998-04-25,1998-04-01,3039
534062,1806799,Software Engineering,,Proceedings of the 32nd ACM/IEEE International Conference,Cape Town,,South Africa,2010-05-01,2010-05-08,2010-05-01,1545
534125,1345443,ITiCSE on Innovation and technology in computer science education,,Working group reports,Dundee,,Scotland,2007-12-01,2007-12-01,2007-12-01,1545
534247,800043,Winter simulation,,Proceedings of the 15th conference,Arlington,Virginia,USA,1983-12-12,1983-12-14,1983-12-12,4124
534349,355274,Advances in geographic information systems,,Proceedings of the 8th ACM international symposium,Washington,D.C.,USA,2000-11-06,2000-11-11,2000-11-01,1545
534464,2665943,Privacy in the Electronic Society,,Proceedings of the 13th Workshop,Scottsdale,Arizona,USA,2014-11-03,2014-11-03,2014-11-03,1545
534642,1629575,Operating systems principles,,Proceedings of the ACM SIGOPS 22nd symposium,Big Sky,Montana,USA,2009-10-11,2009-10-14,2009-10-11,1545
536707,2527269,High integrity language technology,,Proceedings of the 2013 ACM SIGAda annual conference,Pittsburgh,Pennsylvania,USA,2013-11-10,2013-11-14,2013-11-10,1545
536791,502217,"Compilers, architecture, and synthesis for embedded systems",,Proceedings of the 2001 international conference,Atlanta,Georgia,USA,2001-11-16,2001-11-17,2001-11-16,1545
536807,316572,Integrating technology into computer science education,,Working Group reports of the 3rd annual SIGCSE/SIGCUE ITiCSE conference,Dublin,,Ireland,,,1998-12-01,1545
536850,1527033,,,Proceedings of the Warm Up Workshop for ACM/IEEE ICSE 2010,Cape Town,,South Africa,2009-04-01,2009-04-03,2009-04-01,1545
536877,266220,I/O in parallel and distributed systems,,Proceedings of the fifth workshop,San Jose,California,USA,1997-11-17,1997-11-17,1997-11-17,1545
537200,1502650,Intelligent user interfaces,,Proceedings of the 14th international conference,Sanibel Island,Florida,USA,2009-02-08,2009-02-11,2009-02-08,1545
537573,1858996,Automated software engineering,,Proceedings of the IEEE/ACM international conference,Antwerp,,Belgium,2010-09-20,2010-09-24,2010-09-20,1545
537608,288338,Wireless mobile multimedia,,Proceedings of the 1st ACM international workshop,Dallas,Texas,USA,1998-10-25,1998-10-30,1998-10-01,1545
537660,2666202,Equation-Based Object-Oriented Modeling Languages and Tools,,Proceedings of the 6th International Workshop,Berlin,,Germany,2014-10-10,2014-10-10,2014-10-10,1545
537821,2513002,Interactive Entertainment,Matters of Life and Death,Proceedings of The 9th Australasian Conference,Melbourne,,Australia,2013-09-30,2013-10-01,2013-09-30,1545
537890,1390749,Analytics for noisy unstructured text data,,Proceedings of the second workshop,,,Singapore,2008-07-24,2008-07-24,2008-07-24,1545
537978,2343483,,,ACM SIGGRAPH 2012 Courses,Los Angeles,California,,2012-08-05,2012-08-09,2012-08-05,1545
538604,2184751,Ubiquitous Information Management and Communication,,Proceedings of the 6th International Conference,Kuala Lumpur,,Malaysia,2012-02-20,2012-02-22,2012-02-20,1545
538931,2380116,User interface software and technology,,Proceedings of the 25th annual ACM symposium,Cambridge,Massachusetts,USA,2012-10-07,2012-10-10,2012-10-07,1545
539164,2398936,Underwater Networks and Systems,,Proceedings of the Seventh ACM International Conference,Los Angeles,California,,2012-11-05,2012-11-06,2012-11-05,1545
539465,2663761,Research in Adaptive and Convergent Systems,,Proceedings of the 2014 Conference,Towson,Maryland,,2014-10-05,2014-10-08,2014-10-05,1545
539600,2465958,Interactive TV and video,,Proceedings of the 11th european conference,Como,,Italy,2013-06-24,2013-06-26,2013-06-24,1545
539781,371920,World Wide Web,,Proceedings of the 10th international conference,Hong Kong,,Hong Kong,2001-05-01,2001-05-05,2001-04-01,1545
539832,2676652,"Design, Quality and Deployment of Adaptive Video Streaming",,Proceedings of the 2014 Workshop,Sydney,,Australia,2014-12-02,2014-12-02,2014-12-02,1545
540634,2639189,Human-Computer Interaction,"Fun, Fast, Foundational",Proceedings of the 8th Nordic Conference,Helsinki,,Finland,2014-10-26,2014-10-30,2014-10-26,1545
540702,800116,Theory of computing,,Proceedings of seventh annual ACM symposium,Albuquerque,New Mexico,USA,1975-05-05,1975-05-07,1975-05-05,1545
540837,324239,User services,setting the direction,Proceedings of the 14th annual ACM SIGUCCS conference,Montreal,Quebec,Canada,1986-09-27,1986-10-01,1986-09-01,1545
540923,1341531,Web Search and Data Mining,,Proceedings of the 2008 International Conference,Palo Alto,California,USA,2008-02-11,2008-02-12,2008-02-11,1545
540958,1506250,Exploiting Semantic Annotations in Information Retrieval,,Proceedings of the WSDM '09 Workshop,Barcelona,,Spain,2009-02-09,2009-02-09,2009-02-09,1545
540998,2688394,,,Proceedings of the Fourth International Workshop on Network-Aware Data Management,New Orleans,Louisiana,,2014-11-16,2014-11-21,2014-11-16,4124
541037,2018556,Video Games,,Proceedings of the 2011 ACM SIGGRAPH Symposium,Vancouver,British Columbia,Canada,2011-08-10,2011-08-10,2011-08-10,1545
541075,2499393,Predictive Models in Software Engineering,,Proceedings of the 9th International Conference,Baltimore,Maryland,USA,2013-10-09,2013-10-09,2013-10-09,1545
541125,143365,Architectural support for programming languages and operating systems,,Proceedings of the fifth international conference,Boston,Massachusetts,USA,1992-10-12,1992-10-15,1992-09-01,1545
541193,1809085,Software Engineering in Health Care,,Proceedings of the 2010 ICSE Workshop,Cape Town,,South Africa,2010-05-03,2010-05-04,2010-05-03,1545
541275,1168812,Information technology education,,Proceedings of the 7th conference,Minneapolis,Minnesota,USA,2006-10-19,2006-10-21,2006-10-19,1545
541302,1275604,Computer architecture education,held in conjunction with the 32nd International Symposium on Computer Architecture,Proceedings of the 2005 workshop,Madison,Wisconsin,,2005-06-05,,2005-06-05,1545
541339,1268980,,Workshops in Aspect-Oriented Requirements Engineering and Architecture Design,Proceedings of the Early Aspects at ICSE,,,,2007-05-20,2007-05-26,2007-05-20,3039
541736,1973009,Great lakes symposium on VLSI,,Proceedings of the 21st edition of the great lakes symposium,Lausanne,,Switzerland,2011-05-02,2011-05-04,2011-05-02,1545
541767,2660190,Feature-Oriented Software Development,,Proceedings of the 6th International Workshop,V&#228;ster&#229;s,,Sweden,2014-09-14,2014-09-14,2014-09-14,1545
542177,1900008,,,Proceedings of the 48th Annual Southeast Regional Conference,Oxford,Mississippi,,2010-04-15,2010-04-17,2010-04-15,1545
542208,2338776,Agent Directed Simulation,,Proceedings of the 2012 Symposium,Orlando,Florida,,2012-03-26,2012-03-30,2012-03-26,49827
542358,1286240,Hypertext and hypermedia,,Proceedings of the eighteenth conference,Manchester,,UK,2007-09-10,2007-09-12,2007-09-10,1545
542540,509593,Supercomputing,,Proceedings of the 1997 ACM/IEEE conference,San Jose,CA,,1997-11-15,1997-11-21,1997-11-15,1545
542614,330160,Virtual reality modeling language (Web3D-VRML),,Proceedings of the fifth symposium,Monterey,California,USA,2000-02-20,2000-02-24,2000-02-21,1545
542701,582353,Management of data,,Proceedings of the 1982 ACM SIGMOD international conference,Orlando,Florida,,1982-06-02,1982-06-04,1982-06-02,1545
542719,1408620,Next generation aspect oriented middleware,,Proceedings of the 2008 workshop,Brussels,,Belgium,2008-04-01,2008-04-01,2008-04-01,1545
542757,2107581,Security and Privacy Preserving in e-Societies,,Proceedings of the First International Workshop,Beirut,,Lebanon,2011-06-09,2011-06-10,2011-06-09,1545
543062,1099435,,,Proceedings of the 33rd annual ACM SIGUCCS conference on User services,Monterey,CA,USA,2005-11-06,2005-11-09,2005-11-06,1545
543352,2684103,Advances in Mobile Computing and Multimedia,,Proceedings of the 12th International Conference,Kaohsiung,,Taiwan,2014-12-08,2014-12-10,2014-12-08,1545
543490,1457199,Entertainment and media in the ubiquitous era,,Proceedings of the 12th international conference,Tampere,,Finland,2008-10-07,2008-10-09,2008-10-07,1545
543761,318371,Winter simulation,,Proceedings of the 19th conference,Atlanta,Georgia,USA,1987-12-14,1987-12-16,1987-12-01,1545
543818,636593,3D Web technology,,Proceedings of the eighth international conference,Saint Malo,,France,2003-03-09,2003-03-12,2003-03-09,1545
543897,114054,APL '91,,Proceedings of the international conference,Palo Alto,California,USA,1991-08-04,1991-08-08,1991-07-01,1545
544144,1555754,Computer architecture,,Proceedings of the 36th annual international symposium,Austin,TX,USA,2009-06-20,2009-06-24,2009-06-20,1545
544227,277697,Principles of distributed computing,,Proceedings of the seventeenth annual ACM symposium,Puerto Vallarta,,Mexico,1998-06-28,1998-07-02,1998-06-01,1545
544281,319057,Databases in parallel and distributed systems,,Proceedings of the second international symposium,Dublin,,Ireland,1990-07-02,1990-07-04,1990-07-01,1545
545200,1830483,Genetic and evolutionary computation,,Proceedings of the 12th annual conference,Portland,Oregon,USA,2010-07-07,2010-07-11,2010-07-07,1545
545309,1585694,Software Engineering,Companion Volume,Proceedings of the 2009 31st International Conference,,,,2009-05-16,2009-05-24,2009-05-16,3039
545354,1291535,Advances in model-based testing,,Proceedings of the 3rd international workshop,London,,United Kingdom,2007-07-09,2007-07-12,2007-07-09,1545
545473,2516604,Information and Communication Technologies and Development,Full Papers,Proceedings of the Sixth International Conference,Cape Town,,South Africa,2013-12-07,2013-12-10,2013-12-07,1545
545535,2491266,Mobile cloud computing,,Proceedings of the second ACM SIGCOMM workshop,Hong Kong,,China,2013-08-16,2013-08-16,2013-08-16,1545
546030,223355,Human Factors in Computing Systems,,Conference Companion,Denver,Colorado,USA,1995-05-07,1995-05-11,1995-05-07,1545
546116,2592235,,,Proceedings of the Second International Symposium of Chinese CHI,Toronto,Ontario,Canada,2014-04-26,2014-04-27,2014-04-26,1545
546192,313451,Mobile computing and networking,,Proceedings of the 5th annual ACM/IEEE international conference,Seattle,Washington,USA,1999-08-15,1999-08-19,1999-08-01,1545
546528,1255175,Digital libraries,,Proceedings of the 7th ACM/IEEE-CS joint conference,Vancouver,BC,Canada,2007-06-18,2007-06-23,2007-06-18,1545
546564,2484712,Semantic Web Information Management,,Proceedings of the Fifth Workshop,New York,New York,,2013-06-23,2013-06-23,2013-06-23,1545
546650,1960314,Aspect-oriented software development companion,,Proceedings of the tenth international conference,Porto de Galinhas,,Brazil,2011-03-21,2011-03-25,2011-03-21,1545
546728,1346256,Virtual execution environments,,Proceedings of the fourth ACM SIGPLAN/SIGOPS international conference,Seattle,WA,USA,2008-03-05,2008-03-07,2008-03-05,1545
546769,2660505,Human Centered Event Understanding from Multimedia,,Proceedings of the 1st ACM International Workshop,Orlando,Florida,USA,2014-11-07,2014-11-07,2014-11-07,1545
546798,1577776,,,QShine 2007 Workshop: Satellite/Terrestrial Interworking,Vancouver,,Canada,2007-08-14,2007-08-17,2007-08-14,1545
546931,1457720,,,"Papers and discussions presented at the December 9-13, 1957, eastern joint computer conference: Computers with deadlines to meet",Washington,D.C.,,1957-12-09,1957-12-13,1957-12-09,1545
546997,1454586,QoS and security for wireless and mobile networks,,Proceedings of the 4th ACM symposium,Vancouver,British Columbia,Canada,2008-10-27,2008-10-28,2008-10-27,1545
547035,1270238,Software Engineering for Automotive Systems,,Proceedings of the 4th International Workshop,,,,2007-05-20,2007-05-26,2007-05-20,3039
547109,92571,Computational learning theory,,Proceedings of the third annual workshop,Rochester,New York,USA,1990-08-06,1990-08-08,1990-07-01,30864
547260,800248,Computer graphics and interactive techniques,,Proceedings of the 5th annual conference,,,,1978-08-23,1978-08-25,1978-08-23,1545
547306,800157,Theory of computing,,Proceedings of the third annual ACM symposium,Shaker Heights,Ohio,USA,1971-05-03,1971-05-05,1971-05-03,1545
547340,1852658,Social Network Systems,,Proceedings of the 3rd Workshop,Paris,,France,2010-04-13,2010-04-13,2010-04-13,1545
547502,800174,,,Proceedings of the ACM '82 conference,,,,,,1982-01-01,1545
547529,2350176,Data Mining in Bioinformatics,,Proceedings of the 11th International Workshop,Beijing,,China,2012-08-12,2012-08-12,2012-08-12,1545
547781,1477862,Virtual-Reality Continuum and Its Applications in Industry,,Proceedings of The 7th ACM SIGGRAPH International Conference,,,Singapore,2008-12-08,2008-12-09,2008-12-08,1545
547916,1378600,"Mobile systems, applications, and services",,Proceedings of the 6th international conference,Breckenridge,CO,USA,2008-06-17,2008-06-20,2008-06-17,1545
548049,1507149,Interactive 3D graphics and games,,Proceedings of the 2009 symposium,Boston,Massachusetts,,2009-02-27,2009-03-01,2009-02-27,1545
548086,824475,Parallel and distributed simulation,,Proceedings of the seventeenth workshop,,,,2003-06-10,2003-06-13,2003-06-10,3039
548155,1739268,Mobility and Ubiquity Computing,,Proceedings of the 5th French-Speaking Conference,Lille,,France,2009-07-07,2009-07-08,2009-07-07,1545
548584,1808143,Simulation Tools and Techniques,,Proceedings of the 3rd International ICST Conference,Torremolinos,Malaga,Spain,2010-03-15,2010-03-19,2010-03-15,6032
548690,800142,APL,,Proceedings of the international conference,San Francisco,California,USA,1981-10-21,1981-10-23,1981-10-21,1545
548901,268084,Computer science education,,Proceedings of the twenty-eighth SIGCSE technical symposium,San Jose,California,USA,1997-02-27,1997-03-01,1997-03-01,1545
548937,1953563,"Reliability, Availability, and Security",,Proceedings of the Third International Workshop,Zurich,,Switzerland,2010-07-25,2010-07-28,2010-07-25,1545
549006,1073970,Parallelism in algorithms and architectures,,Proceedings of the seventeenth annual ACM symposium,Las Vegas,Nevada,USA,2005-07-18,2005-07-20,2005-07-18,1545
549100,55626,APL,,Proceedings of the international conference,Sydney,,Australia,,,1987-12-01,1545
549195,2331829,Computer-Human Interaction,,Proceedings of the 4th Annual Conference of the ACM Special Interest Group,Dunedin,,New Zealand,2003-07-03,2003-07-04,2003-07-03,1545
549343,1863543,Functional programming,,Proceedings of the 15th ACM SIGPLAN international conference,Baltimore,Maryland,USA,2010-09-27,2010-09-29,2010-09-27,1545
549369,1435452,System-level virtualization for high performance computing,,Proceedings of the 2nd workshop,Glasgow,Scotland,,2008-03-31,2008-03-31,2008-03-31,1545
549433,1877808,3D object retrieval,,Proceedings of the ACM workshop,Firenze,,Italy,2010-10-25,2010-10-25,2010-10-25,1545
549781,800033,,,Proceedings of the 21st Design Automation Conference,Albuquerque,New Mexico,USA,1984-06-25,1984-06-27,1984-06-25,4124
550075,1111449,Intelligent user interfaces,,Proceedings of the 11th international conference,Sydney,,Australia,2006-01-29,2006-02-01,2006-01-29,1545
550146,2750675,"Micro Aerial Vehicle Networks, Systems, and Applications for Civilian Use",,Proceedings of the First Workshop,Florence,,Italy,2015-05-18,2015-05-18,2015-05-18,1545
551187,2492517,Advances in Social Networks Analysis and Mining,,Proceedings of the 2013 IEEE/ACM International Conference,Niagara,Ontario,Canada,2013-08-25,2013-08-28,2013-08-25,1545
551537,1791212,Information Processing in Sensor Networks,,Proceedings of the 9th ACM/IEEE International Conference,Stockholm,,Sweden,2010-04-12,2010-04-16,2010-04-12,1545
551571,1387309,Services integration in pervasive environments,,Proceedings of the 3rd international workshop,Sorrento,,Italy,2008-07-07,2008-07-07,2008-07-07,1545
553263,2072298,Multimedia,,Proceedings of the 19th ACM international conference,Scottsdale,Arizona,USA,2011-11-28,2011-12-01,2011-11-28,1545
553393,1133373,ACM SIGOPS European workshop,,Proceedings of the 10th workshop,Saint-Emilion,,France,2002-07-01,2002-07-01,2002-07-01,1545
553449,263105,"Applications, technologies, architectures, and protocols for computer communication",,Proceedings of the ACM SIGCOMM '97 conference,Cannes,,France,1997-09-14,1997-09-18,1997-10-01,1545
553497,1296951,Wikis,,Proceedings of the 2007 international symposium,Montreal,Quebec,Canada,2007-10-21,2007-10-25,2007-10-21,1545
553611,1247069,Computational geometry,,Proceedings of the twenty-third annual symposium,Gyeongju,,South Korea,2007-06-06,2007-06-08,2007-06-06,1545
553730,2535597,Human - Computer Interaction,,Proceedings of the 2013 Chilean Conference,Temuco,,Chile,2013-11-11,2013-11-15,2013-11-11,1545
553764,882082,Research issues in data mining and knowledge discovery,,Proceedings of the 8th ACM SIGMOD workshop,San Diego,California,,2003-06-13,2003-06-13,2003-06-13,1545
553828,800270,,,Proceedings of the 4th Design Automation Conference,,,,,,1967-01-01,1545
553862,2462029,Program Analysis for Software Tools and Engineering,,Proceedings of the 11th ACM SIGPLAN-SIGSOFT Workshop,Seattle,Washington,,2013-06-20,2013-06-20,2013-06-20,1545
554122,302405,Software engineering,,Proceedings of the 21st international conference,Los Angeles,California,USA,1999-05-16,1999-05-22,1999-05-16,1545
554323,775047,Knowledge discovery and data mining,,Proceedings of the eighth ACM SIGKDD international conference,Edmonton,Alberta,Canada,2002-07-23,2002-07-26,2002-07-23,1545
554444,237814,Theory of computing,,Proceedings of the twenty-eighth annual ACM symposium,Philadelphia,Pennsylvania,USA,1996-05-22,1996-05-24,1996-07-01,1545
554517,1454247,Recommendation systems for software engineering,,Proceedings of the 2008 international workshop,Atlanta,Georgia,,2008-11-09,2008-11-09,2008-11-09,1545
